Position,Number,Driver,Constructor,Q1,Q2,Q3,Final grid
1,16,Monaco Charles Leclerc,Ferrari,1:11.113,1:10.597,1:10.346,1
2,33,Netherlands Max Verstappen,Red Bull Racing-Honda,1:11.124,1:10.650,1:10.576,2
3,77,Finland Valtteri Bottas,Mercedes,1:10.938,1:10.695,1:10.601,3
4,55,Spain Carlos Sainz Jr.,Ferrari,1:11.324,1:10.806,1:10.611,4
5,4,United Kingdom Lando Norris,McLaren-Mercedes,1:11.321,1:11.031,1:10.620,5
6,10,France Pierre Gasly,AlphaTauri-Honda,1:11.560,1:11.179,1:10.900,6
7,44,United Kingdom Lewis Hamilton,Mercedes,1:11.622,1:11.116,1:11.095,7
8,5,Germany Sebastian Vettel,Aston Martin-Mercedes,1:12.078,1:11.309,1:11.419,8
9,11,Mexico Sergio Pérez,Red Bull Racing-Honda,1:11.644,1:11.019,1:11.573,9
10,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:11.658,1:11.409,1:11.779,10
11,31,France Esteban Ocon,Alpine-Renault,1:11.740,1:11.486,N/A,11
12,3,Australia Daniel Ricciardo,McLaren-Mercedes,1:11.747,1:11.598,N/A,12
13,18,Canada Lance Stroll,Aston Martin-Mercedes,1:11.979,1:11.600,N/A,13
14,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:11.899,1:11.642,N/A,14
15,63,United Kingdom George Russell,Williams-Mercedes,1:12.016,1:11.830,N/A,15
16,22,Japan Yuki Tsunoda,AlphaTauri-Honda,1:12.096,N/A,N/A,16
17,14,Spain Fernando Alonso,Alpine-Renault,1:12.205,N/A,N/A,17
18,6,Canada Nicholas Latifi,Williams-Mercedes,1:12.366,N/A,N/A,18
19,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,1:12.958,N/A,N/A,19
20,47,Germany Mick Schumacher,Haas-Ferrari,No time,N/A,N/A,20